"","benchmark","class","tool","budget","config","score.mean","score.sd"
"138","PDFBOX-229","org.apache.pdfbox.util.XMLUtil","evosuite",180,"PDFBOX-229_org.apache.pdfbox.util.XMLUtil_180",2.4388571672,0.708341236208597
"139","PDFBOX-229","org.apache.pdfbox.util.XMLUtil","randoop",60,"PDFBOX-229_org.apache.pdfbox.util.XMLUtil_60",0.387636411641842,0.00156320651684576
"140","PDFBOX-229","org.apache.pdfbox.util.XMLUtil","randoop",180,"PDFBOX-229_org.apache.pdfbox.util.XMLUtil_180",0.396060999440268,0.000340413724669555
"141","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound","evosuite",60,"PDFBOX-234_org.apache.pdfbox.pdmodel.interactive.action.PDActionSound_60",2.75452196,0
"142","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound","evosuite",180,"PDFBOX-234_org.apache.pdfbox.pdmodel.interactive.action.PDActionSound_180",3.522997414,1.70599708434183
"143","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound","randoop",60,"PDFBOX-234_org.apache.pdfbox.pdmodel.interactive.action.PDActionSound_60",6.03252801629751,0.0445668948643959
"144","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound","randoop",180,"PDFBOX-234_org.apache.pdfbox.pdmodel.interactive.action.PDActionSound_180",6.2792826855317,0.0185072519290459
"145","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder","evosuite",60,"PDFBOX-235_org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder_60",0,0
"146","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder","evosuite",180,"PDFBOX-235_org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder_180",0,0
"147","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder","randoop",60,"PDFBOX-235_org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder_60",0,0
"148","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder","randoop",180,"PDFBOX-235_org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder_180",0,0
"149","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font","evosuite",60,"PDFBOX-265_org.apache.pdfbox.pdmodel.font.PDType3Font_60",1.46717547909434,0.179679863482285
"150","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font","evosuite",180,"PDFBOX-265_org.apache.pdfbox.pdmodel.font.PDType3Font_180",1.67934296824611,0.24756428807742
"151","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font","randoop",60,"PDFBOX-265_org.apache.pdfbox.pdmodel.font.PDType3Font_60",0.00897572458892369,2.27754217397154e-05
